UAV1_x,UAV1_y,UAV2_x,UAV2_y,UAV3_x,UAV3_y
-19.0,20.0,-70.0,20.0,-120.0,20.0
-19.0077,21.968,-68.5586,21.3392,-118.835,20.1583
-19.572,23.525,-68.6169,22.8392,-118.2281,21.6727
-21.094,24.1243,-69.1544,24.3392,-117.5589,23.1248
-22.7898,24.5498,-69.2185,25.8392,-116.502,24.1892
-24.3508,25.1102,-70.0793,27.3392,-115.3858,25.1943
-25.7595,25.8228,-70.0559,28.8392,-114.1084,26.0383
-26.5817,27.122,-70.2592,30.3392,-112.9021,26.9533
-27.7193,28.1057,-70.2433,31.8392,-111.6555,27.828
-28.9029,29.0434,-70.0513,33.3392,-110.664,28.9578
-30.2311,29.8365,-69.9948,34.8392,-109.6531,30.0682
-30.9663,31.2226,-70.0995,36.3392,-108.6061,31.1425
-31.7469,32.5633,-69.7501,37.8392,-107.7696,32.4273
-33.1464,33.2851,-69.9354,39.3392,-106.6493,33.4283
-34.1265,34.4263,-70.3878,40.8392,-105.5058,34.4061
-35.3028,35.3713,-70.145,42.3392,-104.0735,35.0951
-36.5921,36.2033,-70.0209,43.8392,-103.2314,36.3743
-37.7316,37.1851,-69.7199,45.3392,-102.1221,37.3863
-38.5417,38.4963,-69.8842,46.8392,-100.8722,38.2577
-39.2224,39.9369,-69.2593,48.3392,-100.0543,39.5611
-40.6875,40.5932,-68.8378,49.8392,-99.5048,41.1329
-41.8791,41.5229,-69.4346,51.3392,-98.4422,42.1916
-42.7794,42.744,-69.8216,52.8392,-97.1248,42.9955
-43.9773,43.6674,-69.6872,54.3392,-96.0877,44.0797
-44.9606,44.8055,-70.1281,55.8392,-94.9711,45.0844
-45.7518,46.1357,-70.2891,57.3392,-93.7947,46.0293
-46.8524,47.1564,-69.7801,58.8392,-92.8379,47.1939
-47.9147,48.2154,-70.2284,60.3392,-91.7941,48.2714
-48.8561,49.3953,-70.9139,61.8392,-90.5322,49.1309
-50.0168,50.3559,-70.3192,63.3392,-89.2139,49.9339
-51.1615,51.3326,-70.278,64.8392,-88.4335,51.2749
-52.4641,52.1513,-70.2312,66.3392,-87.5405,52.5032
-53.423,53.3137,-70.4177,67.8392,-86.6903,53.7743
-54.3989,54.4591,-70.2485,69.3392,-85.4701,54.6755
-55.1461,55.8332,-70.3709,70.8392,-84.1244,55.4511
-56.4023,56.6983,-70.1856,72.3392,-82.7684,56.2164
-57.6304,57.5915,-70.8483,73.8392,-81.6924,57.2617
-58.8614,58.4818,-70.4991,75.3392,-81.0577,58.7484
-59.9053,59.5592,-70.3069,76.8392,-79.9403,59.7523
-60.7332,60.8527,-69.9193,78.3392,-78.745,60.6783
-61.4303,62.2769,-69.869,79.8392,-77.63,61.6846
-62.511,63.3175,-69.5049,81.3392,-76.9716,63.1475
-63.9497,64.0001,-69.3793,82.8392,-76.3762,64.6734
-64.4676,65.6035,-69.0221,84.3392,-75.8252,66.2437
-65.2436,66.9489,-68.8296,85.8392,-75.8188,68.3587
-65.5599,68.7539,-69.4015,87.3392,-75.8188,70.48
-65.7821,70.6531,-70.1979,88.8392,-75.8188,72.6013
-65.7821,72.7744,-70.0305,90.3392,-75.8188,74.7226
-65.7821,74.8957,-69.9989,91.8392,-75.7398,76.7649
-65.8214,76.9777,-70.6429,93.3392,-75.7398,78.8862
-65.8214,79.099,-70.5433,94.8392,-75.7398,81.0075
-65.8557,81.186,-70.7891,96.3392,-75.7398,83.1288
-65.8557,83.3073,-69.8877,97.8392,-75.7398,85.2501
-65.8557,85.4286,-69.9212,99.3392,-75.7398,87.3714
-65.8557,87.5499,-69.9681,100.8392,-75.7398,89.4927
-65.8557,89.6712,-69.9342,102.3392,-75.7398,91.614
-65.8672,91.781,-69.8908,103.8392,-75.7398,93.7353
-65.8672,93.9023,-69.7323,105.3392,-75.7398,95.8566
-65.8672,96.0236,-69.7372,106.8392,-75.7398,97.9779
-65.8672,98.1449,-69.5437,108.3392,-75.7817,100.0574
-66.294,99.8394,-69.9084,109.8392,-76.2486,101.7119
-66.9414,100.3758,-69.0951,111.3392,-76.3648,103.717
-68.6013,99.9757,-68.5281,112.8392,-76.3648,105.8383
-70.7127,99.9856,-67.6519,114.3392,-76.3317,107.9265
-72.834,99.9856,-67.3341,115.8392,-75.4668,109.1829
-74.8558,100.0851,-65.8341,116.2387,-74.3579,110.1953
-76.9771,100.0851,-64.3341,115.9564,-73.1752,110.447
-79.0857,100.0733,-62.8341,115.3793,-71.5541,109.9468
-81.207,100.0733,-62.0085,114.9177,-70.4581,108.9215
-82.7847,100.6169,-60.5085,114.0787,-68.9607,108.2976
-84.6698,100.8532,-59.0085,113.259,-67.4686,107.6684
-86.7911,100.8532,-57.5085,111.9472,-66.2128,106.8029
-88.388,101.3776,-57.2479,112.1285,-65.094,105.8004
-90.2166,101.6703,-58.3032,112.7738,-64.2206,104.5524
-92.2464,101.7618,-59.8032,113.6157,-62.3403,104.3113
-94.3677,101.7618,-61.3032,114.6408,-60.219,104.3113
-96.489,101.7618,-62.8032,115.3281,-58.0977,104.3113
-98.6103,101.7618,-64.3032,116.4173,-55.9764,104.3113
-100.5959,101.8975,-65.8032,117.4263,-53.8551,104.3113
-102.0239,102.5908,-67.3032,118.7611,-51.7338,104.3113
-103.6416,103.0944,-68.8032,119.3928,-49.6125,104.3113
-104.6995,104.1578,-70.3032,119.9079,-47.4912,104.3113
-105.3144,105.6642,-70.8287,120.2004,-45.3699,104.3113
-106.5818,106.5181,-71.2243,120.3341,-43.2486,104.3113
-107.5886,107.6326,-71.7779,120.6454,-41.5976,104.7816
-108.9581,108.3844,-73.0057,121.0498,-39.4763,104.7816
-110.4787,108.9279,-72.7522,120.8621,-37.4599,104.8865
-111.0285,110.4994,-72.0064,120.6833,-35.6731,105.221
-111.5251,112.1242,-71.7101,120.6155,-34.8086,106.4779
-112.6259,113.1447,-72.604,120.7406,-33.9384,107.729
-114.0459,113.846,-72.4565,120.8217,-32.9336,108.8455
-114.8187,114.9198,-72.7655,120.7975,-31.4313,109.4645
-115.3485,116.5113,-72.5007,120.7296,-30.6003,110.7548
-116.6822,117.2989,-71.7651,120.5514,-28.8344,111.1102
-117.7871,118.0821,-71.9705,120.6479,-27.529,111.9261
-118.4213,119.5693,-71.5189,120.4749,-27.2278,113.7462
-119.5954,120.1445,-71.2077,120.3975,-26.8411,115.4808
